jnstrans|date|txn|idr|bln|mth
PLUS - LOCAL|02/14/2019|173|169600000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/14/2019|2356|2733200000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/14/2019|2224|2776800000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/14/2019|518|455050000|FEB2019|2019-02
VISA - LOCAL|02/15/2019|38|39550000|FEB2019|2019-02
VISA - INTERNATIONAL|02/15/2019|1627|1904450000|FEB2019|2019-02
PLUS - LOCAL|02/15/2019|171|158450000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/15/2019|2483|2962250000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/15/2019|2383|3029500000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/15/2019|554|538600000|FEB2019|2019-02
VISA - LOCAL|02/16/2019|52|58550000|FEB2019|2019-02
VISA - INTERNATIONAL|02/16/2019|1352|1563700000|FEB2019|2019-02
PLUS - LOCAL|02/16/2019|188|163950000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/16/2019|2467|2715950000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/16/2019|2336|2750300000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/16/2019|572|546900000|FEB2019|2019-02
VISA - LOCAL|02/17/2019|49|36150000|FEB2019|2019-02
VISA - INTERNATIONAL|02/17/2019|1285|1346300000|FEB2019|2019-02
PLUS - LOCAL|02/17/2019|210|176100000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/17/2019|2252|2394500000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/17/2019|2108|2504150000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/17/2019|534|438900000|FEB2019|2019-02
VISA - LOCAL|02/18/2019|53|62200000|FEB2019|2019-02
VISA - INTERNATIONAL|02/18/2019|1459|1791700000|FEB2019|2019-02
PLUS - LOCAL|02/18/2019|219|213000000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/18/2019|2398|2735400000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/18/2019|6805|8108300000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/18/2019|1737|1570700000|FEB2019|2019-02
VISA - LOCAL|02/19/2019|39|48800000|FEB2019|2019-02
VISA - INTERNATIONAL|02/19/2019|1298|1482900000|FEB2019|2019-02
PLUS - LOCAL|02/19/2019|179|190700000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/19/2019|2195|2542750000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/19/2019|2444|3148500000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/19/2019|519|449200000|FEB2019|2019-02
VISA - LOCAL|02/20/2019|49|60450000|FEB2019|2019-02
VISA - INTERNATIONAL|02/20/2019|1424|1645600000|FEB2019|2019-02
PLUS - LOCAL|02/20/2019|181|163450000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/20/2019|2302|2763750000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/20/2019|2304|3002300000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/20/2019|491|478600000|FEB2019|2019-02
VISA - LOCAL|02/21/2019|40|41600000|FEB2019|2019-02
VISA - INTERNATIONAL|02/21/2019|1411|1662650000|FEB2019|2019-02
PLUS - LOCAL|02/21/2019|168|177100000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/21/2019|2252|2553150000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/21/2019|2493|3128300000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/21/2019|549|546300000|FEB2019|2019-02
VISA - LOCAL|02/22/2019|41|53300000|FEB2019|2019-02
VISA - INTERNATIONAL|02/22/2019|1450|1662000000|FEB2019|2019-02
PLUS - LOCAL|02/22/2019|212|211350000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/22/2019|2357|2759300000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/22/2019|2483|3166400000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/22/2019|548|479850000|FEB2019|2019-02
VISA - LOCAL|02/23/2019|58|47200000|FEB2019|2019-02
VISA - INTERNATIONAL|02/23/2019|1317|1388000000|FEB2019|2019-02
PLUS - LOCAL|02/23/2019|171|147300000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/23/2019|2184|2390950000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/23/2019|2344|2777100000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/23/2019|519|500450000|FEB2019|2019-02
VISA - LOCAL|02/24/2019|47|45500000|FEB2019|2019-02
VISA - INTERNATIONAL|02/24/2019|1345|1454450000|FEB2019|2019-02
PLUS - LOCAL|02/24/2019|179|160100000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/24/2019|2266|2344150000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/24/2019|2185|2522250000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/24/2019|464|417800000|FEB2019|2019-02
VISA - LOCAL|02/25/2019|42|43900000|FEB2019|2019-02
VISA - INTERNATIONAL|02/25/2019|1320|1477500000|FEB2019|2019-02
PLUS - LOCAL|02/25/2019|169|154500000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/25/2019|2224|2651400000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/25/2019|6900|8274050000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/25/2019|1450|1392600000|FEB2019|2019-02
VISA - LOCAL|02/26/2019|41|34600000|FEB2019|2019-02
VISA - INTERNATIONAL|02/26/2019|1428|1709000000|FEB2019|2019-02
PLUS - LOCAL|02/26/2019|164|181300000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/26/2019|2228|2762100000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/26/2019|2479|3334900000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/26/2019|441|457650000|FEB2019|2019-02
VISA - LOCAL|02/27/2019|28|24450000|FEB2019|2019-02
VISA - INTERNATIONAL|02/27/2019|1394|1665350000|FEB2019|2019-02
PLUS - LOCAL|02/27/2019|140|133600000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/27/2019|2279|2850700000|FEB2019|2019-02
CIRRUS MASTER NON ISIS|02/27/2019|2422|3225000000|FEB2019|2019-02
CIRRUS MASTER ISIS|02/27/2019|474|558700000|FEB2019|2019-02
VISA - LOCAL|02/28/2019|36|37750000|FEB2019|2019-02
VISA - INTERNATIONAL|02/28/2019|1435|1764200000|FEB2019|2019-02
PLUS - LOCAL|02/28/2019|165|216500000|FEB2019|2019-02
PLUS - INTERNATIONAL|02/28/2019|2399|3156150000|FEB2019|2019-02
